year,rank,name,first_clean,middle,last,firstlast,gender_guess
1965,AMBASSADOR, David K. E. Bruce,David,K. E.,Bruce,David Bruce,male
1965,DEPUTY CHIEF OF MISSION, Philip M. Kaiser,Philip,M.,Kaiser,Philip Kaiser,male
1965,POLITICAL SECTION, William H. Brubeck,William,H.,Brubeck,William Brubeck,male
1965,COMMERCIAL SECTION, Harold E. Hall,Harold,E.,Hall,Harold Hall,male
1965,AGRICULTURAL ATTACHE, Robert N. Anderson,Robert,N.,Anderson,Robert Anderson,male
1965,CONSUL GENERAL, Eric M. Hughes,Eric,M.,Hughes,Eric Hughes,male
1965,AMBASSADOR, Henry R. Labouisse,Henry,R.,Labouisse,Henry Labouisse,male
1965,DEPUTY CHIEF OF MISSION, Norbert L. Anschuetz,Norbert,L.,Anschuetz,Norbert Anschuetz,male
1965,POLITICAL SECTION, H. Daniel Brewster,Daniel,Daniel,Brewster,Daniel Brewster,male
1965,ECONOMIC SECTION, Robert E. McCoy,Robert,E.,McCoy,Robert McCoy,male
1965,COMMERCIAL SECTION, Guy O. Long,Guy,O.,Long,Guy Long,male
1965,AGRICULTURAL ATTACHE, John D. Motz,John,D.,Motz,John Motz,male
1965,CONSULATE GENERAL, Thossaloniki,Thossaloniki,,,Thossaloniki ,unknown
1965,CONSUL GENERAL," William L. Hamilton, Jr.",William,L.,Hamilton,William Hamilton,male
1965,AMBASSADOR, John O. Bell,John,O.,Bell,John Bell,male
1965,DEPUTY CHIEF OF MISSION, Viron P. Vaky,Viron,P.,Vaky,Viron Vaky,male
1965,POLITICAL SECTION, John T. Dreyfuss,John,T.,Dreyfuss,John Dreyfuss,male
1965,ECONOMIC SECTION, James C. Lobenstine,James,C.,Lobenstine,James Lobenstine,male
1965,AGRICULTURAL ATTACHE, Dalton L. Wilson,Dalton,L.,Wilson,Dalton Wilson,male
1965,AID MISSION DIRECTOR, Marvin Weissman,Marvin,,Weissman,Marvin Weissman,male
1965,AMBASSADOR, James I. Loeb,James,I.,Loeb,James Loeb,male
1965,DEPUTY CHIEF OF MISSION, Pierre R. Graham,Pierre,R.,Graham,Pierre Graham,male
1965,POLITICAL SECTION, J. Daniel Loubert,Daniel,Daniel,Loubert,Daniel Loubert,male
1965,ECONOMIC SECTION, Alfred J. Erdos,Alfred,J.,Erdos,Alfred Erdos,male
1965,AID MISSION DIRECTOR, Curtis Campaigne,Curtis,,Campaigne,Curtis Campaigne,male
1965,AMBASSADOR, Benson E. L. Timmons II,Benson,E. L.,Timmons,Benson Timmons,unknown
1965,DEPUTY CHIEF OF MISSION," Glion Curtis, Jr.",Glion,,Curtis,Glion Curtis,unknown
1965,POLITICAL SECTION, Norman E. Warner,Norman,E.,Warner,Norman Warner,male
1965,COMMERCIAL SECTION, Valentin E. Blacque,Valentin,E.,Blacque,Valentin Blacque,male
1965,AMBASSADOR, Charles R. Burrows,Charles,R.,Burrows,Charles Burrows,male
1965,DEPUTY CHIEF OF MISSION, John W. Fisher,John,W.,Fisher,John Fisher,male
1965,POLITICAL SECTION, Edwin D. Ledbetter,Edwin,D.,Ledbetter,Edwin Ledbetter,male
1965,ECONOMIC SECTION, Richard A. Godfrey,Richard,A.,Godfrey,Richard Godfrey,male
1965,COMMERCIAL SECTION, Anthony Winkler-Prins,Anthony,,Winkler-Prins,Anthony Winkler-Prins,male
1965,AID MISSION DIRECTOR, Newell F. Williams,Newell,F.,Williams,Newell Williams,male
1965,CONSUL GENERAL, Edward E. Rice,Edward,E.,Rice,Edward Rice,male
1965,DEPUTY PRINCIPAL OFFICER, Oscar V. Armstrong,Oscar,V.,Armstrong,Oscar Armstrong,male
1965,ECONOMIC SECTION, Lynn H. Olson,Lynn,H.,Olson,Lynn Olson,mostly_female
1965,COMMERCIAL SECTION, Walter W. Sohl,Walter,W.,Sohl,Walter Sohl,male
1965,AGRICULTURAL OFFICER, John Reinhold Wenmohs,John,Reinhold,Wenmohs,John Wenmohs,male
1965,LEGATION, Budapest,Budapest,,,Budapest ,unknown
1965,DEPUTY CHIEF OF MISSION, Elim O'Shaughnessy,Elim,,O'Shaughnessy,Elim O'Shaughnessy,unknown
1965,POLITICAL SECTION, Richard W. Tims,Richard,W.,Tims,Richard Tims,male
1965,ECONOMIC SECTION, Leopold Gotzlinger,Leopold,,Gotzlinger,Leopold Gotzlinger,male
