year,rank,name,first_clean,middle,last,firstlast
1965,AMBASSADOR, Charles F. Darlington,Charles,F.,Darlington,Charles Darlington
1965,DEPUTY CHIEF OF MISSION, William F. Courtney,William,F.,Courtney,William Courtney
1965,AMBASSADOR, George C. McGhee,George,C.,McGhee,George McGhee
1965,DEPUTY CHIEF OF MISSION, Martin J. Hillenbrand,Martin,J.,Hillenbrand,Martin Hillenbrand
1965,POLITICAL SECTION, Coburn B. Kidd,Coburn,B.,Kidd,Coburn Kidd
1965,ECONOMIC SECTION, Edwin M. Cronk,Edwin,M.,Cronk,Edwin Cronk
1965,COMMERCIAL SECTION, Paul H. Brent,Paul,H.,Brent,Paul Brent
1965,AGRICULTURAL ATTACHE, Paul G. Minneman,Paul,G.,Minneman,Paul Minneman
1965,MISSION, Berlin,Berlin,,,Berlin 
1965,AND ASSISTANT CHIEF OF MISSION, John A. Calhoun,John,A.,Calhoun,John Calhoun
1965,DEPUTY TO ASSISTANT CHIEF OF MISSION," Charles E. Hulick, Jr.",Charles,E.,Hulick,Charles Hulick
1965,POLITICAL SECTION, Arthur R. Day,Arthur,R.,Day,Arthur Day
1965,ECONOMIC SECTION, Parker D. Wyman,Parker,D.,Wyman,Parker Wyman
1965,CONSULATE GENERAL, Bremen,Bremen,,,Bremen 
1965,CONSUL GENERAL, Leo M. Goodman,Leo,M.,Goodman,Leo Goodman
1965,ECONOMIC SECTION, Brynhild C. Rowberg,Brynhild,C.,Rowberg,Brynhild Rowberg
1965,CONSULATE GENERAL, Duesseldorf,Duesseldorf,,,Duesseldorf 
1965,CONSUL GENERAL, Edmund H. Kellogg,Edmund,H.,Kellogg,Edmund Kellogg
1965,COMMERCIAL SECTION, Emst A. Van Es,Emst,A.,Van Es,Emst Van Es
1965,CONSULATE GENERAL, Frankfurt am Main,Frankfurt,am,Main,Frankfurt Main
1965,CONSUL GENERAL, Henry H. Ford,Henry,H.,Ford,Henry Ford
1965,DEPUTY PRINCIPAL OFFICER, Everett K. Melby,Everett,K.,Melby,Everett Melby
1965,ECONOMIC SECTION, Anthony Radspieler,Anthony,,Radspieler,Anthony Radspieler
1965,COMMERCIAL SECTION, Edmund F. Becker,Edmund,F.,Becker,Edmund Becker
1965,CONSULATE GENERAL, Hamburg,Hamburg,,,Hamburg 
1965,CONSUL GENERAL, E. Tomlin Bailey,Tomlin,Tomlin,Bailey,Tomlin Bailey
1965,CONSULATE GENERAL, Munich,Munich,,,Munich 
1965,CONSUL GENERAL, Paul B. Taylor,Paul,B.,Taylor,Paul Taylor
1965,DEPUTY PRINCIPAL OFFICER, Neil M. Ruge,Neil,M.,Ruge,Neil Ruge
1965,ECONOMIC SECTION, Dwight M. Cramer,Dwight,M.,Cramer,Dwight Cramer
1965,CONSULATE GENERAL, Stuttgart,Stuttgart,,,Stuttgart 
1965,CONSUL GENERAL, Paul R. Sweet,Paul,R.,Sweet,Paul Sweet
1965,ECONOMIC SECTION, George F. Bogardus,George,F.,Bogardus,George Bogardus
1965,COMMERCIAL SECTION, George L. Rueckert,George,L.,Rueckert,George Rueckert
1965,AMBASSADOR," William P. Mahoney, Jr.",William,P.,Mahoney,William Mahoney
1965,DEPUTY CHIEF OF MISSION," Oliver L. Troxel, Jr.",Oliver,L.,Troxel,Oliver Troxel
1965,POLITICAL SECTION, Willard A. Depree,Willard,A.,Depree,Willard Depree
1965,ECONOMIC SECTION," John W. Foley, Jr.",John,W.,Foley,John Foley
1965,COMMERCIAL SECTION, Evelyn 'Schwarztrauber,Evelyn,,'Schwarztrauber,Evelyn 'Schwarztrauber
1965,AID MISSION DIRECTOR, Frank E. Pinder,Frank,E.,Pinder,Frank Pinder
1965,AMBASSADOR, David K. E. Bruce,David,K. E.,Bruce,David Bruce
1965,DEPUTY CHIEF OF MISSION, Philip M. Kaiser,Philip,M.,Kaiser,Philip Kaiser
1965,POLITICAL SECTION, William H. Brubeck,William,H.,Brubeck,William Brubeck
1965,COMMERCIAL SECTION, Harold E. Hall,Harold,E.,Hall,Harold Hall
1965,AGRICULTURAL ATTACHE, Robert N. Anderson,Robert,N.,Anderson,Robert Anderson
1965,CONSUL GENERAL, Eric M. Hughes,Eric,M.,Hughes,Eric Hughes
1965,AMBASSADOR, Henry R. Labouisse,Henry,R.,Labouisse,Henry Labouisse
1965,DEPUTY CHIEF OF MISSION, Norbert L. Anschuetz,Norbert,L.,Anschuetz,Norbert Anschuetz
1965,POLITICAL SECTION, H. Daniel Brewster,Daniel,Daniel,Brewster,Daniel Brewster
1965,ECONOMIC SECTION, Robert E. McCoy,Robert,E.,McCoy,Robert McCoy
1965,COMMERCIAL SECTION, Guy O. Long,Guy,O.,Long,Guy Long
1965,AGRICULTURAL ATTACHE, John D. Motz,John,D.,Motz,John Motz
1965,CONSULATE GENERAL, Thossaloniki,Thossaloniki,,,Thossaloniki 
1965,CONSUL GENERAL," William L. Hamilton, Jr.",William,L.,Hamilton,William Hamilton
1965,AMBASSADOR, John O. Bell,John,O.,Bell,John Bell
1965,DEPUTY CHIEF OF MISSION, Viron P. Vaky,Viron,P.,Vaky,Viron Vaky
1965,POLITICAL SECTION, John T. Dreyfuss,John,T.,Dreyfuss,John Dreyfuss
1965,ECONOMIC SECTION, James C. Lobenstine,James,C.,Lobenstine,James Lobenstine
1965,AGRICULTURAL ATTACHE, Dalton L. Wilson,Dalton,L.,Wilson,Dalton Wilson
1965,AID MISSION DIRECTOR, Marvin Weissman,Marvin,,Weissman,Marvin Weissman
1965,AMBASSADOR, James I. Loeb,James,I.,Loeb,James Loeb
1965,DEPUTY CHIEF OF MISSION, Pierre R. Graham,Pierre,R.,Graham,Pierre Graham
1965,POLITICAL SECTION, J. Daniel Loubert,Daniel,Daniel,Loubert,Daniel Loubert
1965,ECONOMIC SECTION, Alfred J. Erdos,Alfred,J.,Erdos,Alfred Erdos
1965,AID MISSION DIRECTOR, Curtis Campaigne,Curtis,,Campaigne,Curtis Campaigne
1965,AMBASSADOR, Benson E. L. Timmons II,Benson,E. L.,Timmons,Benson Timmons
1965,DEPUTY CHIEF OF MISSION," Glion Curtis, Jr.",Glion,,Curtis,Glion Curtis
1965,POLITICAL SECTION, Norman E. Warner,Norman,E.,Warner,Norman Warner
1965,COMMERCIAL SECTION, Valentin E. Blacque,Valentin,E.,Blacque,Valentin Blacque
1965,AMBASSADOR, Charles R. Burrows,Charles,R.,Burrows,Charles Burrows
1965,DEPUTY CHIEF OF MISSION, John W. Fisher,John,W.,Fisher,John Fisher
1965,POLITICAL SECTION, Edwin D. Ledbetter,Edwin,D.,Ledbetter,Edwin Ledbetter
1965,ECONOMIC SECTION, Richard A. Godfrey,Richard,A.,Godfrey,Richard Godfrey
1965,COMMERCIAL SECTION, Anthony Winkler-Prins,Anthony,,Winkler-Prins,Anthony Winkler-Prins
1965,AID MISSION DIRECTOR, Newell F. Williams,Newell,F.,Williams,Newell Williams
1965,CONSUL GENERAL, Edward E. Rice,Edward,E.,Rice,Edward Rice
1965,DEPUTY PRINCIPAL OFFICER, Oscar V. Armstrong,Oscar,V.,Armstrong,Oscar Armstrong
1965,ECONOMIC SECTION, Lynn H. Olson,Lynn,H.,Olson,Lynn Olson
1965,COMMERCIAL SECTION, Walter W. Sohl,Walter,W.,Sohl,Walter Sohl
1965,AGRICULTURAL OFFICER, John Reinhold Wenmohs,John,Reinhold,Wenmohs,John Wenmohs
1965,LEGATION, Budapest,Budapest,,,Budapest 
1965,DEPUTY CHIEF OF MISSION, Elim O'Shaughnessy,Elim,,O'Shaughnessy,Elim O'Shaughnessy
1965,POLITICAL SECTION, Richard W. Tims,Richard,W.,Tims,Richard Tims
1965,ECONOMIC SECTION, Leopold Gotzlinger,Leopold,,Gotzlinger,Leopold Gotzlinger
1965,AMBASSADOR, James K. Penfield,James,K.,Penfield,James Penfield
1965,DEPUTY CHIEF OF MISSION, Valdemar N. L. Johnson,Valdemar,N. L.,Johnson,Valdemar Johnson
1965,POLITICAL SECTION, John C. Brooks,John,C.,Brooks,John Brooks
1965,ECONOMIC SECTION, Geraldine B. Stibbe,Geraldine,B.,Stibbe,Geraldine Stibbe
1965,AMBASSADOR, Chester Bowles,Chester,,Bowles,Chester Bowles
1965,DEPUTY CHIEF OF MISSION," Joseph N. Green, Jr.",Joseph,N.,Green,Joseph Green
1965,POLITICAL SECTION, L. Douglas Heck,Douglas,Douglas,Heck,Douglas Heck
1965,ECONOMIC SECTION, Leonard Weiss,Leonard,,Weiss,Leonard Weiss
